username,followers,reels,avg_views,max_views,avg_comments,max_comments,avg_likes,last_upload_days,posts_per_week,verdict,error
ddooki_table,0,12,979459,5458184,268.6,2309,8840.8,4.1,0.6,ok,
ddosaggi,0,12,38191,431018,590.7,6712,162.3,51.8,1.4,ok,
de_elisa_shop,0,12,1526373,12420874,2478.5,8794,12557.2,1.9,0.1,ok,
dealsenselab,0,12,3933,14130,16.1,52,7.8,0.1,9.3,ok,
decidebuy_,0,12,1487,2314,15.9,52,4.7,7.0,3.4,ok,
de_melie,0,12,10168,35497,6.4,27,188.4,0.0,4.4,ok,
decomyhome_official,0,12,112413,654432,621.7,4159,641.0,41.1,1.3,ok,
departmnt.store,0,12,430481,2081386,52.5,229,1527.6,16.0,0.2,ok,
diary_of_saleena,0,12,26933,124964,51.5,119,101.0,0.1,2.4,ok,
deco_my_home_,,,,,,,,,,unknown,
dingdong__home,0,12,60620,386441,1549.8,10051,269.2,15.1,0.4,ok,
detective_homez,,,,,,,,,,unknown,
diva.pick,0,12,79605,274421,1222.9,5662,295.4,3.0,2.5,ok,
diy_salrim,0,12,460662,1693258,1474.2,3840,3370.3,2.3,0.1,ok,
do_it_with_hewitt,0,12,490963,5115347,1566.8,5520,3299.9,1.8,6.0,ok,
doda.hom,0,12,4395,23700,27.6,101,10.9,1.1,4.7,ok,
dio.pick,,,,,,,,,,unknown,
doit_tem,0,12,333289,3942667,57.0,367,2875.3,186.1,1.4,ok,
dontopia2025,0,12,34256,76184,40.9,133,74.9,2.9,7.0,ok,
dongi_home,0,12,3823,21416,29.0,47,3.0,0.1,16.8,ok,
doongjeee,0,12,5593,8394,60.8,145,33.2,31.0,10.5,ok,
doongji.life,0,12,6595,24366,165.8,535,65.6,181.5,6.5,ok,
doongx2_mom,0,12,260119,1047470,2362.3,13589,1628.8,3.2,0.1,ok,
doodlely93,,,,,,,,,,unknown,
doodlely,,,,,,,,,,unknown,
dtem.box,0,12,282535,1338597,2668.4,23983,3050.2,47.9,0.2,ok,
du._.rum._.ma,0,12,1063,2751,42.0,64,24.2,96.0,5.2,ok,
dorodong33,,,,,,,,,,unknown,
du_ri_nee,0,12,83872,330323,204.8,601,381.8,0.0,7.0,ok,
doto8243,,,,,,,,,,unknown,
dubu_home.tem,0,12,10063,33605,163.8,527,44.7,0.5,1.8,ok,
dul2home,0,12,18106,76699,526.4,2711,65.5,115.9,8.4,ok,
dullzzi._.mom,0,12,84312,227191,1499.2,5264,582.2,1.0,1.0,ok,
dulli.tem_,0,12,30156,223321,147.8,816,60.8,54.1,4.7,ok,
easyjubu,0,12,908983,4261203,236.8,737,4758.5,1.2,0.1,ok,
