category,channel_title,channel_id,channel_url,top_views,sample_title,status
홈템,쓸모집_쓸모 있는 살림 모음Zip,UCGw1DUgI4zrjujJPh5zt-Tw,https://www.youtube.com/channel/UCGw1DUgI4zrjujJPh5zt-Tw,370240,맞벌이부부도 매일 쓰는 쿠팡 주방템3 #살림 #살림브이로그,이미있음
홈템,우니언니,UCGUy4UQvgOrwG1qkG6oLDdw,https://www.youtube.com/channel/UCGUy4UQvgOrwG1qkG6oLDdw,354138,여행 가기 전에 꼭 보세요! ✈️ 여행 필수템 7가지,이미있음
홈템,생활용품 연구소,UCHf6VUdwbOnFotJR4oOX3Qw,https://www.youtube.com/channel/UCHf6VUdwbOnFotJR4oOX3Qw,351413,다이소 직원도 몰래 쟁여놓는 꿀템,이미있음
홈템,건강스토리,UCfC-n8MTdpoD1a193sxCYOQ,https://www.youtube.com/channel/UCfC-n8MTdpoD1a193sxCYOQ,312447,청소에 진심인 브라이언도 쓰는 다이소 청소 꿀템 3가  #브라이언 #다이소 #브라이언청소템 #다이소추천템,이미있음
홈템,지우원,UCR-rSr__YloP08_byJvVd9w,https://www.youtube.com/channel/UCR-rSr__YloP08_byJvVd9w,289327,한번 사면 생활비 절약 시켜주는 생활 꿀템 3가지,이미있음
홈템,코코꿀템,UC8iAEekkJH9mYWAmbkOuzRg,https://www.youtube.com/channel/UC8iAEekkJH9mYWAmbkOuzRg,237757,나만 몰랐던 생활 꿀템‼️,이미있음
홈템,오인스 saedek_oins,UC0h83_gWSs2o70laV94_xSQ,https://www.youtube.com/channel/UC0h83_gWSs2o70laV94_xSQ,196422,살아남은 찐 주방템들,이미있음
홈템,홈스토리,UCpANROseo-Ydh7zIhkKZedQ,https://www.youtube.com/channel/UCpANROseo-Ydh7zIhkKZedQ,191917,이케아가 탐내는 공간활용 꿀템 #책상 #협탁,등록예정
홈템,NiNii_Homes,UCnxtpMc_HKzn6l8YlCpPWJQ,https://www.youtube.com/channel/UCnxtpMc_HKzn6l8YlCpPWJQ,186028,여러분 다이소가면 이거 안사면 손해에요!! #다이소욕실청소세제 #다이소청소템 #다이소추천,이미있음
홈템,꾸러미,UCBwCh5s5f6P58O6F9SkZUjw,https://www.youtube.com/channel/UCBwCh5s5f6P58O6F9SkZUjw,136537,품절이 자주 되는게 무서워! 소스 데워서 만들기 좋은 내열유리 계량컵 #계량컵 #요리 #조리도구 #주방템 #,이미있음
홈템,살림구조대,UCylAPY4i5NpwkbfD4bBYeeA,https://www.youtube.com/channel/UCylAPY4i5NpwkbfD4bBYeeA,124415,코스트코 18년차 회원이 골라온 최저가 할인 살림템,이미있음
홈템,담고사고,UC-HqX68KjWwGbHoMT2UjL6g,https://www.youtube.com/channel/UC-HqX68KjWwGbHoMT2UjL6g,116378,다이소 가면 은근히 모르는 생활꿀템 BEST 5,이미있음
홈템,조조살림,UC-3nOEGkzLlIduuUgkc5xWQ,https://www.youtube.com/channel/UC-3nOEGkzLlIduuUgkc5xWQ,115403,자취방 청소 꿀팁,이미있음
홈템,프로페셔널,UCkfSg-wO6rgqeLhhHjzxFfA,https://www.youtube.com/channel/UCkfSg-wO6rgqeLhhHjzxFfA,109277,다이소에서 찾은 미친 생활꿀템 5가지🔥 이건 무조건 사세요.. (삶의 질 올라갑니다),이미있음
홈템,살림천재노다지,UCP9At0_YeazqIriEbAoSU3A,https://www.youtube.com/channel/UCP9At0_YeazqIriEbAoSU3A,106458,다이소 best 7가지 #다이소 #다이소추천템 #살림 #다이소추천 #꿀템 #꿀팁 #살림초보 #다이소깡 #정보,이미있음
홈템,오늘의집,UCBKtitA1RwY7F32rCniV1dA,https://www.youtube.com/channel/UCBKtitA1RwY7F32rCniV1dA,98068,주방 분위기를 바꿔주는 아이템 #shorts  #전국내집자랑,이미있음
홈템,리빙다움,UCBPINQ5SP4GuuRSW85wmRzQ,https://www.youtube.com/channel/UCBPINQ5SP4GuuRSW85wmRzQ,91755,다이소엔 없는 만원이하 쿠팡꿀템 4가지,이미있음
홈템,Thomas Pick,UC84vwmCzKkGaizXL5pc-1Dw,https://www.youtube.com/channel/UC84vwmCzKkGaizXL5pc-1Dw,83870,욕실 용품 절대 바닥에 두지 마세요 #욕실수납 #욕실정리 #욕실인테리어,이미있음
홈템,다다살림,UCf9z4UULHAxN6W6LPI0SpDg,https://www.youtube.com/channel/UCf9z4UULHAxN6W6LPI0SpDg,73883,젤 참기 힘들었던💦우리집 밤티 살림템 드디어 탈출🔥,이미있음

