채널ID,등급,상태,평균조회수,최대조회수,평균댓글,최대댓글,평균좋아요,마지막업로드(일전),주당업로드,주소
pink__salim,D,활성,797,1803,12.1,31,7.6,0.4,7.0,https://www.instagram.com/pink__salim/
livingbling_,D,저활동(14일+),796,1635,7.2,26,6.2,14.5,3.8,https://www.instagram.com/livingbling_/
hey_h0h0,D,활성,785,1860,12.7,32,7.0,0.5,7.6,https://www.instagram.com/hey_h0h0/
lv.up._.salim,D,활성,771,1328,13.7,30,6.8,0.5,8.4,https://www.instagram.com/lv.up._.salim/
kkul._.team,D,저활동(14일+),764,4796,1.0,4,4.3,48.0,0.8,https://www.instagram.com/kkul._.team/
mim_mim_tem,D,활성,749,1921,12.2,23,5.1,3.5,2.9,https://www.instagram.com/mim_mim_tem/
look._.tem,D,활성,738,1623,16.6,29,9.8,4.4,2.4,https://www.instagram.com/look._.tem/
tok._.tem,D,활성,731,1773,14.7,29,8.5,0.1,7.6,https://www.instagram.com/tok._.tem/
mamiup_official,D,활성,715,1297,3.5,15,3.7,4.0,0.3,https://www.instagram.com/mamiup_official/
vivi_home_01,D,활성,708,4456,30.4,63,16.3,0.2,3.2,https://www.instagram.com/vivi_home_01/
editor.pick.tem,D,활성,705,4004,25.6,69,16.2,0.0,12.0,https://www.instagram.com/editor.pick.tem/
naman.home,D,활성,688,1871,3.7,16,2.2,2.3,3.8,https://www.instagram.com/naman.home/
tin_ypick,D,활성,670,2657,3.2,10,2.2,9.5,1.1,https://www.instagram.com/tin_ypick/
sun_2home,D,저활동(14일+),665,2308,31.9,54,12.7,37.5,3.8,https://www.instagram.com/sun_2home/
bling_blingmart,D,저활동(14일+),661,3945,29.6,301,7.2,52.0,0.4,https://www.instagram.com/bling_blingmart/
hellomongle,D,활성,660,1659,31.9,43,18.4,1.0,7.6,https://www.instagram.com/hellomongle/
lifechurp_,D,활성,640,1443,5.1,11,2.6,1.0,2.5,https://www.instagram.com/lifechurp_/
tomato_tem,D,활성,611,1402,17.6,25,12.2,2.0,7.6,https://www.instagram.com/tomato_tem/
dajunghome,D,활성,609,1806,17.6,51,9.3,0.5,14.0,https://www.instagram.com/dajunghome/
bori_homtem,D,활성,604,1002,11.3,21,5.9,2.2,21.0,https://www.instagram.com/bori_homtem/
